Date,TEL,URC,AP
1/8/2023,1320,126,36
1/9/2023,1176,115,35.45
1/12/2023,1259,113.1,36.6
2/8/2023,1305,122,36
2/10/2023,1175,120,34.35
3/7/2023,1334,134.7,37.3
3/8/2023,1310,125,35.6
3/10/2023,1175,120,34.9
3/11/2023,1239,110.1,36.4
4/7/2023,1343,140,36.65
4/8/2023,1275,120.8,35
4/9/2023,1190,114.1,35.45
4/10/2023,1195,120,35
4/12/2023,1270,114,37.65
5/7/2023,1330,138,36.05
5/9/2023,1202,117.9,35.05
5/10/2023,1170,115,34.95
5/12/2023,1276,113.8,37.35
6/7/2023,1305,139,36
6/9/2023,1201,116.9,35
6/10/2023,1203,117.8,34.5
6/11/2023,1245,111.3,36.35
6/12/2023,1270,112.4,37.5
6/13/2023,1270,141,36.95
6/14/2023,1238,141,36.8
6/15/2023,1290,140.5,36.5
6/16/2023,1260,140,36.5
6/19/2023,1286,138.7,36.65
6/20/2023,1340,138.6,37
6/21/2023,1330,136.8,36.5
6/22/2023,1359,129.8,37.5
6/23/2023,1342,126.5,37.55
6/26/2023,1305,138,37.55
6/27/2023,1330,138,37.85
6/29/2023,1305,139,37.75
6/30/2023,1312,137.5,38.45
7/7/2023,1300,137.5,35.6
7/8/2023,1304,124.4,35.65
7/9/2023,1200,117,34.2
7/11/2023,1230,112.4,36.45
7/12/2023,1252,112.8,37.9
7/13/2023,1315,133.4,37
7/14/2023,1305,136,36.75
7/17/2023,1305,132.7,35.65
7/18/2023,1289,132.3,34
7/19/2023,1306,131,34.8
7/20/2023,1300,131,35.1
7/21/2023,1300,133,35
7/24/2023,1300,131.1,35.2
7/25/2023,1319,128.5,36
7/26/2023,1335,125.7,36.7
7/27/2023,1338,126.6,36.8
7/28/2023,1330,124.5,36.05
7/31/2023,1310,122.6,36.05
8/6/2023,1259,142.9,37
8/8/2023,1304,124,35.5
8/9/2023,1200,116.4,34.4
8/11/2023,1230,112.7,36.3
8/14/2023,1275,124.8,35.8
8/15/2023,1260,119,36
8/16/2023,1234,124.9,36.1
8/17/2023,1228,119.9,35.6
8/18/2023,1215,117.6,34.5
8/22/2023,1210,113.4,34.95
8/23/2023,1211,113.4,35
8/24/2023,1220,115,34.7
8/25/2023,1200,115,35
8/29/2023,1182,115.1,34.95
8/30/2023,1203,119,35.2
8/31/2023,1150,111.7,35.7
9/6/2023,1280,142,37
9/8/2023,1324,124.8,36.45
9/10/2023,1220,118.8,35.7
9/11/2023,1238,112.2,36.8
9/13/2023,1147,117,33
9/14/2023,1160,118.9,33.2
